Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
League,Richard Levi,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field first,MI , 8 wickets ,Wickets,113,1,2012
League,Irfan Pathan,"Eden Gardens, Kolkata",Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Field first,Daredevils , 8 wickets ,Wickets,98,2,2012
League,Steven Smith,"Wankhede Stadium, Mumbai",Pune Warriors,Mumbai Indians,Mumbai Indians,Field first,Warriors , 28 runs,Runs,130,3,2012
League,Ajinkya Rahane,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field first,RR , 31 runs,Runs,192,4,2012
League,AB de Villiers,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field first,RCB , 20 runs,Runs,158,5,2012
League,Ravindra Jadeja,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Chennai Super Kings,Deccan Chargers,Deccan Chargers,Field first,CSK , 74 runs,Runs,194,6,2012
League,Brad Hodge,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field first,RR , 22 runs,Runs,165,7,2012
League,Marlon Samuels,"Subrata Roy Sahara Stadium, Pune",Pune Warriors,Kings XI Punjab,Pune Warriors,Bat first,Warriors , 22 runs,Runs,167,8,2012
League,Rohit Sharma,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Deccan Chargers,Mumbai Indians,Deccan Chargers,Bat first,MI , 5 wickets ,Wickets,139,9,2012
League,Lakshmipathy Balaji,"M Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,KKR , 42 runs,Runs,166,10,2012
League,Morne Morkel,"Feroz Shah Kotla, Delhi",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field first,Daredevils , 8 wickets ,Wickets,111,11,2012
League,Kieron Pollard,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field first,MI , 27 runs,Runs,198,12,2012
