,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
0,0,0,0,League,Harshal Patel, Chennai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field_First,Royal Challengers Bangalore,2 Wickets,Wickets,160,1,2021
1,1,1,1,League,Shikhar Dhawan, Wankhede,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Field_First,Delhi Capitals,7 Wickets,Wickets,189,2,2021
2,2,2,2,League,Nitish Rana, Chennai,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field_First,Kolkata Knight Riders,10 Runs,Runs,188,3,2021
3,3,3,3,League,Sanju Samson, Wankhede,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Field_First,Punjab Kings,4 Runs,Runs,222,4,2021
4,4,4,4,League,Rahul Chahar, Chennai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field_First,Mumbai Indians,10 Runs,Runs,153,5,2021
5,5,5,5,League,Glenn Maxwell, Chennai,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Field_First,Royal Challengers Bangalore,6 Runs,Runs,150,6,2021
6,6,6,6,League,Jaydev Unadkat, Wankhede,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Field_First,Rajasthan Royals,3 Wickets,Wickets,148,7,2021
7,7,7,7,League,Deepak Chahar, Wankhede,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Field_First,Chennai Super Kings,6 Wickets,Wickets,107,8,2021
8,8,8,8,League,Kieron Pollard, Chennai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat_First,Mumbai Indians,13 Runs,Runs,151,9,2021
9,9,9,9,League,AB de Villiers, Chennai,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Bat_First,Royal Challengers Bangalore,38 Runs,Runs,205,10,2021
10,10,10,10,League,Shikhar Dhawan, Wankhede,Punjab Kings,Delhi Capitals,Delhi Capitals,Field_First,Delhi Capitals,6 Wickets,Wickets,196,11,2021
11,11,11,11,League,Moeen Ali, Wankhede,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field_First,Chennai Super Kings,45 Runs,Runs,189,12,2021
12,12,12,12,League,Amit Mishra, Chennai,Mumbai Indians,Delhi Capitals,Mumbai Indians,Bat_First,Delhi Capitals,6 Wickets,Wickets,138,13,2021
13,13,13,13,League,Jonny Bairstow, Chennai,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Bat_First,Sunrisers Hyderabad,9 Wickets,Wickets,121,14,2021
14,14,14,14,League,Faf du Plessis, Wankhede,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field_First,Chennai Super Kings,18 Runs,Runs,221,15,2021
15,15,15,15,League,Devdutt Padikkal, Wankhede,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field_First,Royal Challengers Bangalore,10 Wickets,Wickets,178,16,2021
16,16,16,16,League,KL Rahul, Chennai,Mumbai Indians,Punjab Kings,Punjab Kings,Field_First,Punjab Kings,9 Wickets,Wickets,132,17,2021
17,17,17,17,League,Chris Morris, Wankhede,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Field_First,Rajasthan Royals,6 Wickets,Wickets,134,18,2021
18,18,18,18,League,Ravindra Jadeja, Wankhede,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat_First,Chennai Super Kings,69 Runs,Runs,192,19,2021
19,19,19,19,League,Prithvi Shaw, Chennai,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Bat_First,Chennai Super Kings,0,Draw,160,20,2021
20,20,20,20,League,Eoin Morgan, Ahmedabad,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field_First,Kolkata Knight Riders,5 Wickets,Wickets,124,21,2021
21,21,21,21,League,AB de Villiers, Ahmedabad,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Field_First,Royal Challengers Bangalore,1 Runs,Runs,172,22,2021
22,22,22,22,League,Ruturaj Gaikwad, Delhi,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Bat_First,Chennai Super Kings,7 Wickets,Wickets,172,23,2021
23,23,23,23,League,Quinton de Kock, Delhi,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Field_First,Mumbai Indians,7 Wickets,Wickets,172,24,2021
24,24,24,24,League,Prithvi Shaw, Ahmedabad,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field_First,Delhi Capitals,7 Wickets,Wickets,155,25,2021
25,25,25,25,League,Harpreet Brar, Ahmedabad,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field_First,Punjab Kings,34 Runs,Runs,180,26,2021
26,26,26,26,League,Kieron Pollard, Delhi,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field_First,Mumbai Indians,4 Wickets,Wickets,219,27,2021
27,27,27,27,League,Jos Buttler, Delhi,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Field_First,Rajasthan Royals,55 Runs,Runs,221,28,2021
28,28,28,28,League,Mayank Agarawal, Ahmedabad,Punjab Kings,Delhi Capitals,Delhi Capitals,Field_First,Delhi Capitals,7 Wickets,Wickets,167,29,2021
29,29,29,29,League,Ruturaj Gaikwad, Dubai (DICS),Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat_First,Chennai Super Kings,20 Runs,Runs,157,30,2021
30,30,30,30,League,Varun Chakravarthy, Abu Dhabi,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Bat_First,Kolkata Knight Riders,9 Wickets,Wickets,93,31,2021
31,31,31,31,League,Kartik Tyagi, Dubai (DICS),Rajasthan Royals,Punjab Kings,Punjab Kings,Field_First,Rajasthan Royals,2 Runs,Runs,186,32,2021
32,32,32,32,League,Anrich Nortje, Dubai (DICS),Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Bat_First,Delhi Capitals,8 Wickets,Wickets,135,33,2021
33,33,33,33,League,Sunil Narine, Abu Dhabi,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field_First,Kolkata Knight Riders,7 Wickets,Wickets,156,34,2021
34,34,34,34,League,Dwayne Bravo, Sharjah,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field_First,Chennai Super Kings,6 Wickets,Wickets,157,35,2021
